date,name,sport,league,season,match type,home team,away team,home score,away score,conductor numeral,result
2025-10-31 08:00:00,Western Sydney Wanderers vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Perth Glory women,,,,
2025-11-01 03:15:00,Sydney vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Melbourne City women,,,,
2025-11-01 06:00:00,Brisbane Roar vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Melbourne Victory women,,,,
2025-11-02 03:15:00,Central Coast Mariners vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Adelaide United women,,,,
2025-11-02 05:00:00,Canberra United vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Newcastle Jets women,,,,
2025-11-07 08:00:00,Perth Glory vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Brisbane Roar women,,,,
2025-11-08 03:00:00,Wellington Phoenix vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Canberra United women,,,,
2025-11-08 05:00:00,Adelaide United vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Sydney women,,,,
2025-11-09 04:00:00,Melbourne City vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Central Coast Mariners women,,,,
2025-11-09 05:00:00,Western Sydney Wanderers vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Melbourne Victory women,,,,
2025-11-14 08:00:00,Adelaide United vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Canberra United women,,,,
2025-11-15 04:00:00,Sydney vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Perth Glory women,,,,
2025-11-15 06:00:00,Melbourne Victory vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Central Coast Mariners women,,,,
2025-11-16 03:00:00,Wellington Phoenix vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Newcastle Jets women,,,,
2025-11-16 05:00:00,Brisbane Roar vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Western Sydney Wanderers women,,,,
2025-11-22 04:00:00,Newcastle Jets vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Western Sydney Wanderers women,,,,
2025-11-22 05:00:00,Canberra United vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Perth Glory women,,,,
2025-11-23 03:00:00,Wellington Phoenix vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Melbourne Victory women,,,,
2025-11-23 04:00:00,Melbourne City vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Adelaide United women,,,,
2025-11-23 05:00:00,Sydney vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Central Coast Mariners women,,,,
2025-11-29 03:15:00,Central Coast Mariners vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Wellington Phoenix women,,,,
2025-11-29 05:00:00,Canberra United vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Sydney women,,,,
2025-11-30 05:00:00,Newcastle Jets vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Brisbane Roar women,,,,
2025-11-30 05:00:00,Melbourne Victory vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Perth Glory women,,,,
2025-12-22 07:15:00,Melbourne City vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Western Sydney Wanderers women,,,,
2025-12-05 08:00:00,Melbourne Victory vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Canberra United women,,,,
2025-12-06 06:00:00,Central Coast Mariners vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Newcastle Jets women,,,,
2025-12-07 04:00:00,Melbourne City vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Wellington Phoenix women,,,,
2025-12-07 05:50:00,Adelaide United vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Brisbane Roar women,,,,
2025-12-07 06:00:00,Western Sydney Wanderers vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Sydney women,,,,
2025-12-12 08:00:00,Sydney vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Newcastle Jets women,,,,
2025-12-12 11:00:00,Perth Glory vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Wellington Phoenix women,,,,
2025-12-13 05:50:00,Melbourne Victory vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Adelaide United women,,,,
2025-12-13 06:30:00,Canberra United vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Melbourne City women,,,,
2025-12-14 06:00:00,Western Sydney Wanderers vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Central Coast Mariners women,,,,
2025-12-19 00:00:00,Brisbane Roar vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Melbourne City women,,,,
2025-12-19 08:00:00,Newcastle Jets vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Melbourne Victory women,,,,
2025-12-20 03:00:00,Wellington Phoenix vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Sydney women,,,,
2025-12-20 06:30:00,Canberra United vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Central Coast Mariners women,,,,
2025-12-21 09:00:00,Perth Glory vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Adelaide United women,,,,
2025-12-27 05:50:00,Adelaide United vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Western Sydney Wanderers women,,,,
2025-12-27 06:00:00,Central Coast Mariners vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Melbourne Victory women,,,,
2025-12-27 07:00:00,Newcastle Jets vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Canberra United women,,,,
2025-12-28 05:15:00,Melbourne City vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Perth Glory women,,,,
2025-12-28 07:00:00,Sydney vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Brisbane Roar women,,,,
2025-12-30 00:00:00,Melbourne Victory vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Melbourne City women,,,,
2025-12-30 08:00:00,Western Sydney Wanderers vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Wellington Phoenix women,,,,
2025-12-31 05:15:00,Central Coast Mariners vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Brisbane Roar women,,,,
2026-01-21 08:00:00,Newcastle Jets vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Adelaide United women,,,,
2026-01-28 11:00:00,Perth Glory vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Sydney women,,,,
2026-01-03 06:00:00,Western Sydney Wanderers vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Canberra United women,,,,
2026-01-03 08:45:00,Brisbane Roar vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Wellington Phoenix women,,,,
2026-01-03 10:00:00,Perth Glory vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Newcastle Jets women,,,,
2026-01-04 05:50:00,Adelaide United vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Central Coast Mariners women,,,,
2026-01-04 06:00:00,Melbourne City vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Sydney women,,,,
2026-01-09 08:00:00,Sydney vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Adelaide United women,,,,
2026-01-09 11:00:00,Perth Glory vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Western Sydney Wanderers women,,,,
2026-01-10 03:00:00,Wellington Phoenix vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Melbourne City women,,,,
2026-01-10 06:00:00,Newcastle Jets vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Central Coast Mariners women,,,,
2026-01-11 06:00:00,Melbourne Victory vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Brisbane Roar women,,,,
2026-01-16 05:50:00,Melbourne City vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Newcastle Jets women,,,,
2026-01-16 08:00:00,Western Sydney Wanderers vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Brisbane Roar women,,,,
2026-01-17 05:50:00,Adelaide United vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Melbourne Victory women,,,,
2026-01-17 06:30:00,Canberra United vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Wellington Phoenix women,,,,
2026-01-18 06:00:00,Central Coast Mariners vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Perth Glory women,,,,
2026-01-23 08:00:00,Brisbane Roar vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Canberra United women,,,,
2026-01-24 06:00:00,Central Coast Mariners vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Western Sydney Wanderers women,,,,
2026-01-24 09:00:00,Perth Glory vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Melbourne City women,,,,
2026-01-25 03:00:00,Wellington Phoenix vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Adelaide United women,,,,
2026-01-25 06:00:00,Melbourne Victory vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Sydney women,,,,
2026-01-30 05:50:00,Adelaide United vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Melbourne City women,,,,
2026-01-30 09:00:00,Brisbane Roar vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Central Coast Mariners women,,,,
2026-01-31 06:00:00,Sydney vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Western Sydney Wanderers women,,,,
2026-01-31 06:30:00,Canberra United vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Melbourne Victory women,,,,
2026-02-01 06:00:00,Newcastle Jets vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Wellington Phoenix women,,,,
2026-02-06 03:00:00,Wellington Phoenix vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Perth Glory women,,,,
2026-02-07 05:50:00,Western Sydney Wanderers vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Adelaide United women,,,,
2026-02-07 06:00:00,Melbourne Victory vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Newcastle Jets women,,,,
2026-02-08 06:00:00,Melbourne City vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Brisbane Roar women,,,,
2026-02-08 06:00:00,Sydney vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Canberra United women,,,,
2026-02-13 05:50:00,Western Sydney Wanderers vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Newcastle Jets women,,,,
2026-02-13 08:00:00,Brisbane Roar vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Sydney women,,,,
2026-02-14 09:00:00,Perth Glory vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Canberra United women,,,,
2026-02-15 03:00:00,Wellington Phoenix vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Central Coast Mariners women,,,,
2026-02-15 06:00:00,Melbourne City vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Melbourne Victory women,,,,
2026-02-20 08:00:00,Central Coast Mariners vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Melbourne City women,,,,
2026-02-20 08:00:00,Melbourne Victory vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Wellington Phoenix women,,,,
2026-02-21 05:30:00,Canberra United vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Western Sydney Wanderers women,,,,
2026-02-21 06:00:00,Newcastle Jets vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Perth Glory women,,,,
2026-02-22 07:00:00,Brisbane Roar vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Adelaide United women,,,,
2026-03-13 08:00:00,Newcastle Jets vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Sydney women,,,,
2026-03-13 08:00:00,Adelaide United vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Perth Glory women,,,,
2026-03-14 04:45:00,Wellington Phoenix vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Brisbane Roar women,,,,
2026-03-14 07:00:00,Melbourne Victory vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne Victory women,Western Sydney Wanderers women,,,,
2026-03-15 03:00:00,Melbourne City vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Melbourne City women,Canberra United women,,,,
2026-03-20 07:00:00,Brisbane Roar vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Newcastle Jets women,,,,
2026-03-20 08:00:00,Sydney vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Wellington Phoenix women,,,,
2026-03-21 06:00:00,Perth Glory vs Central Coast Mariners,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Central Coast Mariners women,,,,
2026-03-22 03:00:00,Canberra United vs Adelaide United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Adelaide United women,,,,
2026-03-22 05:00:00,Western Sydney Wanderers vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Western Sydney Wanderers women,Melbourne City women,,,,
2026-03-27 08:00:00,Brisbane Roar vs Perth Glory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Brisbane Roar women,Perth Glory women,,,,
2026-03-28 04:00:00,Adelaide United vs Newcastle Jets,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Newcastle Jets women,,,,
2026-03-28 06:00:00,Sydney vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Sydney women,Melbourne Victory women,,,,
2026-03-29 03:00:00,Wellington Phoenix vs Western Sydney Wanderers,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Wellington Phoenix women,Western Sydney Wanderers women,,,,
2026-03-29 05:00:00,Central Coast Mariners vs Canberra United,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Canberra United women,,,,
2026-04-03 05:50:00,Adelaide United vs Wellington Phoenix,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Adelaide United women,Wellington Phoenix women,,,,
2026-04-03 08:00:00,Perth Glory vs Melbourne Victory,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Perth Glory women,Melbourne Victory women,,,,
2026-04-04 04:00:00,Canberra United vs Brisbane Roar,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Canberra United women,Brisbane Roar women,,,,
2026-04-04 06:45:00,Central Coast Mariners vs Sydney,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Central Coast Mariners women,Sydney women,,,,
2026-04-05 06:00:00,Newcastle Jets vs Melbourne City,Football,a-leaguge Women,aLeaugeWomen 2025,Group,Newcastle Jets women,Melbourne City women,,,,